index,target_x,target_y,target_z,target_rx,target_ry,target_rz,known_j1,known_j2,known_j3,known_j4,known_j5,known_j6,solved_j1,solved_j2,solved_j3,solved_j4,solved_j5,solved_j6,j1_error_signed,j1_error_abs,j2_error_signed,j2_error_abs,j3_error_signed,j3_error_abs,j4_error_signed,j4_error_abs,j5_error_signed,j5_error_abs,j6_error_signed,j6_error_abs,joint_error_mean,joint_error_max,joint_error_rms,joint_error_total,fk_pos_error_x,fk_pos_error_y,fk_pos_error_z,fk_pos_error_norm,known_fk_pos_error,converged,status,quality
0,181.6,-5.2,204.5,1.64,55.06,-3.23,-0.17,23.37,16.17,4.3,-74.61,-2.9,-0.1553328910784612,23.369908503101367,16.193546472300675,4.313765975094322,-74.63435095153953,-182.91006562406497,0.014667108921543104,0.014667108921543104,-9.149689861942534e-05,9.149689861942534e-05,0.023546472300665755,0.023546472300665755,0.013765975094315763,0.013765975094315763,-0.024350951539531707,0.024350951539531707,179.98993437593504,179.98993437593504,30.01105939678162,179.98993437593504,73.48058476982557,180.0663563806897,-5.684341886080802e-14,1.7763568394002505e-15,0.0,5.687116766346677e-14,0.05388605810913387,True,success,excellent
1,188.2,-41.9,215.5,-9.02,53.72,-20.86,-13.62,26.19,5.8,-3.42,-67.85,-2.98,-13.62368990264908,26.161881102867333,5.812796408545923,-3.4198401486820886,-67.83513977104994,-182.98956596350988,-0.0036899026490857523,0.0036899026490857523,-0.02811889713265714,0.02811889713265714,0.012796408545909799,0.012796408545909799,0.00015985131790330342,0.00015985131790330342,0.014860228950055898,0.014860228950055898,179.99043403649011,179.99043403649011,30.00834322084762,179.99043403649011,73.48078834354357,180.05005932508573,-7.958078640513122e-13,8.462563982902793e-12,-1.949729266925715e-11,2.1269525635328072e-11,0.058496317223529076,True,success,excellent
2,185.5,107.8,198.1,15.66,55.25,24.1,38.05,44.03,-13.71,28.65,-70.75,-19.07,38.05158363365695,44.004907006284995,-13.65044862637714,28.646750061872226,-70.78943080236702,-199.05605129874778,0.0015836336569634568,0.0015836336569634568,-0.025092993715020384,0.025092993715020384,0.05955137362286678,0.05955137362286678,-0.0032499381277659722,0.0032499381277659722,-0.0394308023670078,0.0394308023670078,-179.98605129874778,179.98605129874778,30.019160006706233,179.98605129874778,73.4790042642546,180.1149600402374,5.684341886080802e-14,-4.263256414560601e-14,2.842170943040401e-14,7.652779469160725e-14,0.0691282862860536,True,success,excellent
3,168.6,4.7,249.1,85.23,-38.17,8.53,23.11,58.44,-84.9,78.57,-103.88,9.84,23.102898404345193,56.67278632579991,-81.49927670936515,78.96902469238948,-104.19711484709664,-168.51573509412748,-0.007101595654802395,0.007101595654802395,-1.767213674200093,1.767213674200093,3.4007232906348577,3.4007232906348577,0.3990246923895029,0.3990246923895029,-0.3171148470966614,0.3171148470966614,-178.35573509412748,178.35573509412748,30.7078188656839,178.35573509412748,72.83052935525546,184.2469131941034,5.684341886080802e-14,2.6645352591003757e-15,2.842170943040401e-14,6.360870681658738e-14,0.08911706939335627,True,success,excellent
4,212.0,10.3,198.3,86.67,-37.0,25.53,20.56,73.56,-84.99,87.97,-86.57,25.83,20.569068429144153,72.7792883067697,-83.51267885453001,87.93405165703047,-86.60366717302004,-153.55698308789286,0.009068429144150514,0.009068429144150514,-0.7807116932303018,0.7807116932303018,1.4773211454700004,1.4773211454700004,-0.03594834296953309,0.03594834296953309,-0.03366717302003508,0.03366717302003508,-179.38698308789287,179.38698308789287,30.287283311954482,179.38698308789287,73.23760896093512,181.7236998717269,-8.668621376273222e-12,-4.231281991451397e-12,-3.268496584496461e-12,1.018488162814016e-11,0.058030016099277174,True,success,excellent
5,187.8,18.8,174.7,97.47,-35.08,-1.23,24.34,77.16,-84.46,93.69,-111.79,29.88,24.32249346001562,75.74430572443706,-81.70267028768181,94.22223166779807,-111.67648022039049,-148.69327458302746,-0.017506539984367464,0.017506539984367464,-1.4156942755629416,1.4156942755629416,2.7573297123181817,2.7573297123181817,0.5322316677980723,0.5322316677980723,0.11351977960953263,0.11351977960953263,-178.57327458302746,178.57327458302746,30.568259426383424,178.57327458302746,72.91355374288231,183.40955655830055,-1.1368683772161603e-13,-1.3500311979441904e-13,-1.1368683772161603e-13,2.0994103099801233e-13,0.09996915433923885,True,success,excellent
6,180.4,-4.7,220.4,-91.96,-23.52,-3.74,-21.62,65.65,-85.25,-85.86,-106.69,-3.6,-21.613360738464362,65.81775672076022,-85.56699651134673,274.17517365664423,-106.68222321052698,-183.44067442763415,0.006639261535639207,0.006639261535639207,0.16775672076022374,0.16775672076022374,-0.3169965113467299,0.3169965113467299,0.035173656644246876,0.035173656644246876,0.007776789473012968,0.007776789473012968,-179.84067442763416,179.84067442763416,30.062502894565668,179.84067442763416,73.41979541131515,180.375017367394,-2.2737367544323206e-13,7.638334409421077e-14,-1.9895196601282805e-13,3.1163293843871563e-13,0.03132524503329975,True,success,excellent
7,176.0,16.5,259.6,-75.76,-24.16,-11.2,-15.29,58.62,-85.34,-73.91,-92.9,3.42,-15.301866739573494,58.2641048674336,-84.655097224236,286.0739223632727,-92.99745225679334,-176.8770393570721,-0.011866739573491714,0.011866739573491714,-0.3558951325663884,0.3558951325663884,0.6849027757639874,0.6849027757639874,-0.016077636727345634,0.016077636727345634,-0.09745225679333203,0.09745225679333203,179.7029606429279,179.7029606429279,30.144859197392076,179.7029606429279,73.36411442620022,180.86915518435245,-1.3317618453356772e-05,3.6434442804988976e-06,-8.539229156667716e-06,1.6234287236721327e-05,0.03562802803011182,True,success,excellent
8,213.0,6.7,210.0,-75.9,-29.2,-27.0,-15.46,73.38,-85.16,-78.83,-83.14,-19.33,-15.481373072317142,74.1246793304823,-86.61873676039724,281.0893119989777,-83.0275908869324,-198.6237228020522,-0.02137307231714658,0.02137307231714658,0.7446793304823132,0.7446793304823132,-1.4587367603972439,1.4587367603972439,-0.08068800102228124,0.08068800102228124,0.11240911306759926,0.11240911306759926,-179.29372280205223,179.29372280205223,30.2852681798898,179.29372280205223,73.19943203289553,181.7116090793388,-1.7053025658242404e-13,1.3322676295501878e-14,-5.684341886080802e-14,1.8024770839466274e-13,0.09030270917634814,True,success,excellent
9,184.2,6.1,154.0,-89.52,-18.26,12.59,-16.08,84.99,-84.37,-89.82,-118.82,-18.72,-16.089171420374928,86.81160192973218,-87.87914569961723,271.10767167163044,-118.81340816918174,-196.79134340484342,-0.009171420374940453,0.009171420374940453,1.8216019297321964,1.8216019297321964,-3.5091456996172212,3.5091456996172212,0.9276716716303781,0.9276716716303781,0.006591830818251765,0.006591830818251765,-178.07134340484342,178.07134340484342,30.7242543261694,178.07134340484342,72.71622512827376,184.3455259570164,-5.684341886080802e-14,-6.217248937900877e-15,5.684341886080802e-14,8.062879584817299e-14,0.09265494280496198,True,success,excellent
10,234.2,-26.6,166.6,-4.63,30.99,10.64,-10.63,97.2,-85.25,-15.73,-74.79,23.02,-10.614509754603986,95.74199070143572,-82.44645991868627,344.38485729144946,-76.08404972524225,-157.37374133744518,0.015490245396023283,0.015490245396023283,-1.4580092985642636,1.4580092985642636,2.803540081313713,2.803540081313713,0.11485729144942525,0.11485729144942525,-1.294049725242246,1.294049725242246,179.6062586625548,179.6062586625548,30.88203421742008,179.6062586625548,73.33721403637138,185.29220530452048,-3.296918293926865e-11,2.7853275241795927e-12,5.6274984672199935e-12,3.3561790954871266e-11,0.061607362692814555,True,success,excellent
11,240.1,-12.1,158.5,-26.85,36.38,-6.53,-10.45,97.03,-85.34,-31.2,-70.04,15.29,-10.450930459025262,97.68727726831649,-86.60273339675834,328.69518991768257,-69.5311690403264,-164.38095263232756,-0.000930459025255459,0.000930459025255459,0.6572772683164771,0.6572772683164771,-1.2627333967583354,1.2627333967583354,-0.10481008231749911,0.10481008231749911,0.5088309596736167,0.5088309596736167,-179.67095263232756,179.67095263232756,30.36758913306979,179.67095263232756,73.35296815604607,182.20553479841874,-6.821210263296962e-13,8.704148513061227e-14,-5.684341886080802e-14,6.899974557653136e-13,0.036268177529371705,True,success,excellent
12,57.3,0.0,305.1,63.65,17.54,81.45,-1.84,-49.83,9.31,6.06,15.55,65.47,-1.9557787215817584,48.557114763077976,-178.6167284797205,361.7783046790201,105.00280982976548,-108.16534820691304,-0.11577872158176206,0.11577872158176206,98.38711476307799,98.38711476307799,172.0732715202795,172.0732715202795,-4.281695320979907,4.281695320979907,89.4528098297655,89.4528098297655,-173.63534820691302,173.63534820691302,89.65766972709962,173.63534820691302,113.6211693714432,537.9460183625977,-1.4921397450962104e-13,3.38375161224036e-14,-1.1368683772161603e-13,1.906160663675358e-13,0.0404171284986031,True,success,excellent
13,58.0,0.3,304.2,64.54,17.05,82.33,-1.75,-49.74,9.4,6.67,16.17,65.65,-0.32810937692381226,48.73729102705466,-178.69934443560877,360.57317671992945,105.69323943020889,-108.3573797978313,1.4218906230761945,1.4218906230761945,98.47729102705466,98.47729102705466,171.90065556439123,171.90065556439123,-6.096823280070566,6.096823280070566,89.52323943020889,89.52323943020889,-174.0073797978313,174.0073797978313,90.23787995377215,174.0073797978313,113.70999947287861,541.4272797226329,-1.6342482922482304e-13,-4.2799097599299785e-14,-5.684341886080802e-14,1.7824312561852765e-13,0.0628677185832124,True,success,excellent
