Index,Req_X,Req_Y,Req_Z,Req_RX,Req_RY,Req_RZ,J1,J2,J3,J4,J5,J6,Meas_X,Meas_Y,Meas_Z,Meas_RX,Meas_RY,Meas_RZ
-5,172.033,0.006,245.968,180.0,-90.0,0.0,-0.0001883489406485152,3.3479190972968604e-06,-3.6890852337380045e-05,-0.5706826965880872,3.3597087381342244e-05,0.570682697380642,0.0,0.0,0.0,0.0,0.0,0.0
-3,134.1,-97.7,240.4,-172.72,17.94,84.9,-26.44461077730989,41.12437974788625,-84.6699136741271,-26.26836533152977,104.96322406579814,-134.78852637846092,0.0,0.0,0.0,0.0,0.0,0.0
-1,134.1,-97.7,90.4,-172.72,17.94,84.9,-28.64895803550689,45.48637438817572,-9.79813103620468,-23.43314720249651,56.26624966914511,-98.92589485272023,0.0,0.0,0.0,0.0,0.0,0.0
-3,134.1,-97.7,240.4,-172.72,17.94,84.9,-26.44508476383034,41.11382734408498,-84.64985732530839,-26.26583681397998,104.95440224071474,-134.78320116836,0.0,0.0,0.0,0.0,0.0,0.0
-6,143.55,-7.950000000000003,83.65,-171.01999999999998,20.3,114.23,6.551181675147027,38.92952797280241,6.947430251791054,-28.911138617826154,50.65997710293745,-86.23719204090358,0.0,0.0,0.0,0.0,0.0,0.0
-4,153.0,81.8,226.9,-169.32,22.66,143.56,39.27196359552213,46.49765280179849,-84.64974471757378,-32.305033703710784,105.3042335924298,-128.97260401423642,0.0,0.0,0.0,0.0,0.0,0.0
-2,153.0,81.8,76.9,-169.32,22.66,143.56,37.088239098894086,56.674314542727025,-20.53627962181609,-28.23816502024573,61.44838608483918,-88.96352626427131,0.0,0.0,0.0,0.0,0.0,0.0
-4,153.0,81.8,226.9,-169.32,22.66,143.56,39.272800921097634,46.506704513462026,-84.66643040308888,-32.30891306515015,105.31143742498547,-128.97760527566058,0.0,0.0,0.0,0.0,0.0,0.0
-5,172.033,0.006,245.968,180.0,-90.0,0.0,9.807625670495327e-09,88.42802203207387,-169.30669451563213,-2.6225211127280964e-08,80.87867230824152,3.601598422202784e-09,0.0,0.0,0.0,0.0,0.0,0.0
